Source,Dataset name,Dataset Tag,Dataset save name,Done?,Link,Probe from,Probe to,Data type,Notes,,,# continuous,# multiclass,# binary,,Lot of data here,,,,,
,,world_country_United_States,cleaned_data/124_world_country_United_States.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,world_country_Italy,cleaned_data/125_world_country_Italy.csv,,,,,Binary Classification,,,,,,,,,,,,,
,art_type,art_type_book,cleaned_data/126_art_type_book.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,art_type_song,cleaned_data/127_art_type_song.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,art_type_movie,cleaned_data/128_art_type_movie.csv,,,,,Binary Classification,,,,,,,,,,,,,
,arith mc (doesnt make sense),arith_mc_A,cleaned_data/129_arith_mc_A.csv,,,,,Binary Classification,,,,,,,,,,,,,
,temp_cat,temp_cat_Frequency,cleaned_data/130_temp_cat_Frequency.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,temp_cat_Typical Time,cleaned_data/131_temp_cat_Typical Time.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,temp_cat_Event Ordering,cleaned_data/132_temp_cat_Event Ordering.csv,,,,,Binary Classification,,,,,,,,,,,,,
,context_type,context_type_Causality,cleaned_data/133_context_type_Causality.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,context_type_Belief_states,cleaned_data/134_context_type_Belief_states.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,context_type_Event_duration,cleaned_data/135_context_type_Event_duration.csv,,,,,Binary Classification,,,,,,,,,,,,,
,glue_mnli,glue_mnli_entailment,cleaned_data/136_glue_mnli_entailment.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,glue_mnli_neutral,cleaned_data/137_glue_mnli_neutral.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,glue_mnli_contradiction,cleaned_data/138_glue_mnli_contradiction.csv,,,,,Binary Classification,,,,,,,,,,,,,
,news_class,news_class_Politics,cleaned_data/139_news_class_Politics.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,news_class_Technology,cleaned_data/140_news_class_Technology.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,news_class_Entertainment,cleaned_data/141_news_class_Entertainment.csv,,,,,Binary Classification,,,,,,,,,,,,,
,cancer_cat,cancer_cat_Thyroid_Cancer,cleaned_data/142_cancer_cat_Thyroid_Cancer.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,cancer_cat_Lung_Cancer,cleaned_data/143_cancer_cat_Lung_Cancer.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,cancer_cat_Colon_Cancer,cleaned_data/144_cancer_cat_Colon_Cancer.csv,,,,,Binary Classification,,,,,,,,,,,,,
,disease_class,disease_class_digestive system diseases,cleaned_data/145_disease_class_digestive system diseases.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,disease_class_cardiovascular diseases,cleaned_data/146_disease_class_cardiovascular diseases.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,disease_class_nervous system diseases,cleaned_data/147_disease_class_nervous system diseases.csv,,,,,Binary Classification,,,,,,,,,,,,,
,twt_emotion,twt_emotion_worry,cleaned_data/148_twt_emotion_worry.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,twt_emotion_happiness,cleaned_data/149_twt_emotion_happiness.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,twt_emotion_sadness,cleaned_data/150_twt_emotion_sadness.csv,,,,,Binary Classification,,,,,,,,,,,,,
,it_tick,it_tick_HR Support,cleaned_data/151_it_tick_HR Support.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,it_tick_Hardware,cleaned_data/152_it_tick_Hardware.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,it_tick_Administrative rights,cleaned_data/153_it_tick_Administrative rights.csv,,,,,Binary Classification,,,,,,,,,,,,,
,athlete_sport,athlete_sport_football,cleaned_data/154_athlete_sport_football.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,athlete_sport_basketball,cleaned_data/155_athlete_sport_basketball.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,athlete_sport_baseball,cleaned_data/156_athlete_sport_baseball.csv,,,,,Binary Classification,,,,,,,,,,,,,
